timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-25T08:39:59.758023,ETH-USDT,3658.25,3659.97,1.0,2.0
2025-07-25T08:39:59.758041,ETH-USDT,3658.25,3659.97,1.0,3.0
2025-07-25T08:39:59.762438,ETH-USDT,3658.25,3659.97,1.0,1.0
2025-07-25T08:39:59.764077,ETH-USDT,3658.25,3659.78,1.0,2.0
2025-07-25T08:39:59.770860,ETH-USDT,3658.25,3659.77,1.0,1.0
2025-07-25T08:39:59.775482,ETH-USDT,3658.25,3659.58,1.0,2.0
2025-07-25T08:39:59.787972,ETH-USDT,3658.25,3659.57,1.0,1.0
2025-07-25T08:39:59.787990,ETH-USDT,3658.25,3659.38,1.0,2.0
2025-07-25T08:39:59.793436,ETH-USDT,3658.25,3659.37,1.0,1.0
2025-07-25T08:39:59.797922,SOL-USDT,177.97,178.1,20.0,24.0
2025-07-25T08:39:59.798997,ETH-USDT,3658.25,3659.18,1.0,2.0
2025-07-25T08:39:59.804925,ETH-USDT,3658.25,3659.17,1.0,1.0
2025-07-25T08:39:59.811868,ETH-USDT,3658.25,3658.98,1.0,2.0
2025-07-25T08:39:59.817639,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.822431,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.837658,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.837670,ETH-USDT,3658.25,3658.26,3.0,1.0
2025-07-25T08:39:59.842603,ETH-USDT,3658.25,3658.26,3.0,3.0
2025-07-25T08:39:59.842624,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.847701,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.849859,ETH-USDT,3658.25,3658.26,3.0,1.0
2025-07-25T08:39:59.854303,ETH-USDT,3658.25,3658.26,3.0,3.0
2025-07-25T08:39:59.854315,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.859126,SOL-USDT,178.0,178.1,10.0,24.0
2025-07-25T08:39:59.859147,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.866346,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.866358,ETH-USDT,3658.25,3658.26,3.0,3.0
2025-07-25T08:39:59.877018,ETH-USDT,3658.25,3658.26,3.0,1.0
2025-07-25T08:39:59.877458,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.885243,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.892685,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.901916,ETH-USDT,3658.25,3658.26,3.0,1.0
2025-07-25T08:39:59.901933,ETH-USDT,3658.25,3658.26,3.0,3.0
2025-07-25T08:39:59.901942,XRP-USDT,3.0856,3.0902,6.0,6.0
2025-07-25T08:39:59.902308,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.907720,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.909376,ETH-USDT,3658.25,3658.26,3.0,1.0
2025-07-25T08:39:59.912073,ETH-USDT,3658.25,3658.26,3.0,3.0
2025-07-25T08:39:59.916333,ETH-USDT,3658.25,3658.26,3.0,1.0
2025-07-25T08:39:59.918066,ETH-USDT,3658.25,3658.26,1.0,1.0
2025-07-25T08:39:59.922299,ETH-USDT,3658.25,3658.26,1.0,3.0
2025-07-25T08:39:59.929639,ETH-USDT,3658.25,3658.26,1.0,1.0
