timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T07:33:32.935968,huobi,177.5873,177.6129,1.559,3.68
2025-07-25T07:33:33.041907,huobi,177.5921,177.627,5.13,3.68
2025-07-25T07:33:33.237395,huobi,177.5921,177.632,5.13,5.527
2025-07-25T07:33:33.336200,huobi,177.6069,177.6419,1.528,3.68
2025-07-25T07:33:33.443491,huobi,177.5495,177.6135,15.797,1.536
2025-07-25T07:33:33.538957,huobi,177.535,177.5984,5.13,3.68
2025-07-25T07:33:33.592019,bitrue,177.58,177.62,120.132,110.37
2025-07-25T07:33:33.737700,huobi,177.582,177.5984,1.509,3.68
2025-07-25T07:33:33.837932,huobi,177.535,177.5984,5.13,3.68
2025-07-25T07:33:33.937377,huobi,177.535,177.5845,5.13,6.729
2025-07-25T07:33:34.037147,huobi,177.535,177.5788,5.13,6.639
2025-07-25T07:33:34.136016,huobi,177.5673,177.5788,1.523,6.639
2025-07-25T07:33:34.236485,huobi,177.5281,177.5785,5.13,3.68
2025-07-25T07:34:18.393822,huobi,177.5677,177.5785,1.516,3.68
2025-07-25T07:34:18.393991,huobi,177.5281,177.5635,5.13,1.591
2025-07-25T07:34:18.394043,huobi,177.5275,177.5585,5.527,1.594
2025-07-25T07:34:18.394093,huobi,177.5489,177.5585,1.464,1.594
2025-07-25T07:34:18.394252,huobi,177.5536,177.5791,1.464,5.527
2025-07-25T07:34:18.395835,bitrue,177.54,177.59,94.704,120.705
2025-07-25T07:34:18.395912,bitrue,177.51,177.56,110.547,108.713
2025-07-25T07:34:18.396142,bitrue,177.56,177.59,112.128,120.705
2025-07-25T07:34:18.396187,bitrue,177.54,177.6,127.502,116.032
2025-07-25T07:34:18.396295,bitrue,177.49,177.52,114.532,102.736
2025-07-25T07:34:18.396361,bitrue,177.48,177.52,96.94,102.736
2025-07-25T07:34:18.396471,bitrue,177.5,177.53,119.949,99.882
2025-07-25T07:34:18.396674,bitrue,177.5,177.53,119.949,99.882
2025-07-25T07:34:18.396746,bitrue,177.46,177.5,97.983,106.609
2025-07-25T07:34:18.396886,bitrue,177.43,177.46,114.979,101.925
2025-07-25T07:34:18.396981,bitrue,177.4,177.43,106.559,110.563
2025-07-25T07:34:18.423695,bitrue,177.43,177.46,133.338,208.803
2025-07-25T07:34:18.423819,bitrue,177.39,177.43,93.384,94.162
2025-07-25T07:34:18.424037,bitrue,177.32,177.35,128.639,114.993
2025-07-25T07:34:18.424155,bitrue,177.32,177.35,128.639,114.993
2025-07-25T07:34:18.424184,bitrue,177.29,177.35,103.55,114.993
2025-07-25T07:34:18.424280,bitrue,177.32,177.38,90.311,130.036
2025-07-25T07:34:18.424423,bitrue,177.4,177.45,108.423,119.28
2025-07-25T07:34:18.424564,bitrue,177.43,177.46,126.45,67.012
2025-07-25T07:34:18.424648,bitrue,177.38,177.43,129.131,126.777
2025-07-25T07:34:18.424756,bitrue,177.32,177.39,90.311,124.178
2025-07-25T07:34:18.424926,bitrue,177.3,177.34,101.356,98.739
